,elec_spot_eur_mwh,gas_spot_eur_mwh,co2_tax_eur_mwh_gas,gas_total_eur_mwh,grid_fee_standard_eur_mwh,grid_fee_sec19_eur_mwh,elec_total_standard_eur_mwh,elec_total_sec19_eur_mwh
2025-01-01 00:00:00,27.52,48.993428306022466,17.085,66.07842830602246,25.0,3.75,52.519999999999996,31.27
2025-01-01 01:00:00,27.52,47.72347139765763,17.085,64.80847139765763,25.0,3.75,52.519999999999996,31.27
2025-01-01 02:00:00,27.52,49.29537707620138,17.085,66.38037707620138,25.0,3.75,52.519999999999996,31.27
2025-01-01 03:00:00,27.52,51.04605971281605,17.085,68.13105971281605,25.0,3.75,52.519999999999996,31.27
2025-01-01 04:00:00,27.52,47.53169325055333,17.085,64.61669325055334,25.0,3.75,52.519999999999996,31.27
2025-01-01 05:00:00,27.52,47.53172608610164,17.085,64.61672608610164,25.0,3.75,52.519999999999996,31.27
2025-01-01 06:00:00,27.52,51.15842563101478,17.085,68.24342563101479,25.0,3.75,52.519999999999996,31.27
2025-01-01 07:00:00,27.52,49.53486945830582,17.085,66.61986945830583,25.0,3.75,52.519999999999996,31.27
2025-01-01 08:00:00,27.52,47.0610512281301,17.085,64.14605122813009,25.0,3.75,52.519999999999996,31.27
2025-01-01 09:00:00,27.52,49.08512008717193,17.085,66.17012008717194,25.0,3.75,52.519999999999996,31.27
2025-01-01 10:00:00,27.52,47.073164614375074,17.085,64.15816461437507,25.0,3.75,52.519999999999996,31.27
2025-01-01 11:00:00,27.52,47.06854049285948,17.085,64.15354049285949,25.0,3.75,52.519999999999996,31.27
2025-01-01 12:00:00,27.52,48.48392454313207,17.085,65.56892454313207,25.0,3.75,52.519999999999996,31.27
2025-01-01 13:00:00,27.52,44.1734395106844,17.085,61.258439510684404,25.0,3.75,52.519999999999996,31.27
2025-01-01 14:00:00,27.52,44.550164334973935,17.085,61.635164334973936,25.0,3.75,52.519999999999996,31.27
2025-01-01 15:00:00,27.52,46.875424941518055,17.085,63.960424941518056,25.0,3.75,52.519999999999996,31.27
2025-01-01 16:00:00,27.52,45.97433775933115,17.085,63.05933775933115,25.0,3.75,52.519999999999996,31.27
2025-01-01 17:00:00,27.52,48.628494665190544,17.085,65.71349466519055,25.0,3.75,52.519999999999996,31.27
2025-01-01 18:00:00,27.52,46.18395184895758,17.085,63.26895184895758,25.0,3.75,52.519999999999996,31.27
2025-01-01 19:00:00,27.52,45.17539259732942,17.085,62.26039259732942,25.0,3.75,52.519999999999996,31.27
2025-01-01 20:00:00,27.52,50.93129753784311,17.085,68.01629753784312,25.0,3.75,52.519999999999996,31.27
2025-01-01 21:00:00,27.52,47.54844739902693,17.085,64.63344739902692,25.0,3.75,52.519999999999996,31.27
2025-01-01 22:00:00,27.52,48.13505640937585,17.085,65.22005640937584,25.0,3.75,52.519999999999996,31.27
2025-01-01 23:00:00,27.52,45.15050362757309,17.085,62.23550362757309,25.0,3.75,52.519999999999996,31.27
2025-01-02 00:00:00,27.52,46.91123455094964,17.085,63.99623455094964,25.0,3.75,52.519999999999996,31.27
2025-01-02 01:00:00,27.52,48.22184517941973,17.085,65.30684517941972,25.0,3.75,52.519999999999996,31.27
2025-01-02 02:00:00,27.52,45.6980128451554,17.085,62.7830128451554,25.0,3.75,52.519999999999996,31.27
2025-01-02 03:00:00,27.52,48.75139603669135,17.085,65.83639603669135,25.0,3.75,52.519999999999996,31.27
2025-01-02 04:00:00,27.52,46.79872262016239,17.085,63.88372262016239,25.0,3.75,52.519999999999996,31.27
2025-01-02 05:00:00,27.52,47.41661250041345,17.085,64.50161250041344,25.0,3.75,52.519999999999996,31.27
2025-01-02 06:00:00,27.52,46.79658677554121,17.085,63.88158677554121,25.0,3.75,52.519999999999996,31.27
2025-01-02 07:00:00,27.52,51.70455636901787,17.085,68.78955636901787,25.0,3.75,52.519999999999996,31.27
2025-01-02 08:00:00,27.52,47.973005550524135,17.085,65.05800555052414,25.0,3.75,52.519999999999996,31.27
2025-01-02 09:00:00,27.52,45.8845781420882,17.085,62.9695781420882,25.0,3.75,52.519999999999996,31.27
2025-01-02 10:00:00,27.52,49.64508982420638,17.085,66.73008982420637,25.0,3.75,52.519999999999996,31.27
2025-01-02 11:00:00,27.52,45.558312700057954,17.085,62.643312700057955,25.0,3.75,52.519999999999996,31.27
2025-01-02 12:00:00,27.52,48.41772719000951,17.085,65.50272719000951,25.0,3.75,52.519999999999996,31.27
2025-01-02 13:00:00,27.52,44.08065975224045,17.085,61.16565975224045,25.0,3.75,52.519999999999996,31.27
2025-01-02 14:00:00,27.52,45.34362790220314,17.085,62.42862790220314,25.0,3.75,52.519999999999996,31.27
2025-01-02 15:00:00,27.52,48.39372247173824,17.085,65.47872247173825,25.0,3.75,52.519999999999996,31.27
2025-01-02 16:00:00,27.52,49.47693315999082,17.085,66.56193315999082,25.0,3.75,52.519999999999996,31.27
2025-01-02 17:00:00,27.52,48.34273656237994,17.085,65.42773656237995,25.0,3.75,52.519999999999996,31.27
2025-01-02 18:00:00,27.52,47.76870343522352,17.085,64.85370343522352,25.0,3.75,52.519999999999996,31.27
2025-01-02 19:00:00,27.52,47.39779260882142,17.085,64.48279260882143,25.0,3.75,52.519999999999996,31.27
2025-01-02 20:00:00,27.52,45.04295601926515,17.085,62.12795601926515,25.0,3.75,52.519999999999996,31.27
2025-01-02 21:00:00,27.52,46.560311583210584,17.085,63.645311583210585,25.0,3.75,52.519999999999996,31.27
2025-01-02 22:00:00,27.52,47.07872245808043,17.085,64.16372245808043,25.0,3.75,52.519999999999996,31.27
2025-01-02 23:00:00,27.52,50.11424445243783,17.085,67.19924445243782,25.0,3.75,52.519999999999996,31.27
2025-01-03 00:00:00,27.52,48.68723657913692,17.085,65.77223657913692,25.0,3.75,52.519999999999996,31.27
2025-01-03 01:00:00,27.52,44.47391968927453,17.085,61.55891968927453,25.0,3.75,52.519999999999996,31.27
2025-01-03 02:00:00,27.52,48.64816793878959,17.085,65.73316793878959,25.0,3.75,52.519999999999996,31.27
2025-01-03 03:00:00,27.52,47.22983543916737,17.085,64.31483543916737,25.0,3.75,52.519999999999996,31.27
2025-01-03 04:00:00,27.52,46.646155999388085,17.085,63.731155999388086,25.0,3.75,52.519999999999996,31.27
2025-01-03 05:00:00,27.52,49.22335257768174,17.085,66.30835257768175,25.0,3.75,52.519999999999996,31.27
2025-01-03 06:00:00,27.52,50.0619990449919,17.085,67.1469990449919,25.0,3.75,52.519999999999996,31.27
2025-01-03 07:00:00,27.52,49.8625602382324,17.085,66.9475602382324,25.0,3.75,52.519999999999996,31.27
2025-01-03 08:00:00,27.52,46.32156495355472,17.085,63.40656495355472,25.0,3.75,52.519999999999996,31.27
2025-01-03 09:00:00,27.52,47.38157524829757,17.085,64.46657524829757,25.0,3.75,52.519999999999996,31.27
2025-01-03 10:00:00,27.52,48.66252686280713,17.085,65.74752686280712,25.0,3.75,52.519999999999996,31.27
2025-01-03 11:00:00,27.52,49.95109025424472,17.085,67.03609025424473,25.0,3.75,52.519999999999996,31.27
2025-01-03 12:00:00,27.52,47.04165152430942,17.085,64.12665152430942,25.0,3.75,52.519999999999996,31.27
2025-01-03 13:00:00,27.52,47.62868204667237,17.085,64.71368204667237,25.0,3.75,52.519999999999996,31.27
2025-01-03 14:00:00,27.52,45.787330051987944,17.085,62.872330051987944,25.0,3.75,52.519999999999996,31.27
2025-01-03 15:00:00,27.52,45.60758675183866,17.085,62.69258675183866,25.0,3.75,52.519999999999996,31.27
2025-01-03 16:00:00,27.52,49.6250516447884,17.085,66.7100516447884,25.0,3.75,52.519999999999996,31.27
2025-01-03 17:00:00,27.52,50.71248005714165,17.085,67.79748005714166,25.0,3.75,52.519999999999996,31.27
2025-01-03 18:00:00,27.52,47.85597975683933,17.085,64.94097975683934,25.0,3.75,52.519999999999996,31.27
2025-01-03 19:00:00,27.52,50.00706579578405,17.085,67.09206579578405,25.0,3.75,52.519999999999996,31.27
2025-01-03 20:00:00,27.52,48.72327205009527,17.085,65.80827205009527,25.0,3.75,52.519999999999996,31.27
2025-01-03 21:00:00,27.52,46.709760490789755,17.085,63.794760490789756,25.0,3.75,52.519999999999996,31.27
2025-01-03 22:00:00,27.52,48.722791211016826,17.085,65.80779121101682,25.0,3.75,52.519999999999996,31.27
2025-01-03 23:00:00,27.52,51.07607313293194,17.085,68.16107313293193,25.0,3.75,52.519999999999996,31.27
2025-01-04 00:00:00,27.52,47.928347921780095,17.085,65.0133479217801,25.0,3.75,52.519999999999996,31.27
2025-01-04 01:00:00,27.52,51.12928731162801,17.085,68.21428731162801,25.0,3.75,52.519999999999996,31.27
2025-01-04 02:00:00,27.52,42.76050979182051,17.085,59.84550979182051,25.0,3.75,52.519999999999996,31.27
2025-01-04 03:00:00,27.52,49.64380500875045,17.085,66.72880500875044,25.0,3.75,52.519999999999996,31.27
2025-01-04 04:00:00,27.52,48.17409413647634,17.085,65.25909413647634,25.0,3.75,52.519999999999996,31.27
2025-01-04 05:00:00,27.52,47.401985299068265,17.085,64.48698529906827,25.0,3.75,52.519999999999996,31.27
2025-01-04 06:00:00,27.52,48.183521553071,17.085,65.268521553071,25.0,3.75,52.519999999999996,31.27
2025-01-04 07:00:00,27.52,44.024862170798215,17.085,61.109862170798216,25.0,3.75,52.519999999999996,31.27
2025-01-04 08:00:00,27.52,47.56065622432497,17.085,64.64565622432497,25.0,3.75,52.519999999999996,31.27
2025-01-04 09:00:00,27.52,48.71422514302349,17.085,65.79922514302349,25.0,3.75,52.519999999999996,31.27
2025-01-04 10:00:00,27.52,50.95578808948303,17.085,68.04078808948303,25.0,3.75,52.519999999999996,31.27
2025-01-04 11:00:00,27.52,46.9634595634527,17.085,64.0484595634527,25.0,3.75,52.519999999999996,31.27
2025-01-04 12:00:00,27.52,46.38301279421363,17.085,63.46801279421363,25.0,3.75,52.519999999999996,31.27
2025-01-04 13:00:00,27.52,46.99648591283093,17.085,64.08148591283093,25.0,3.75,52.519999999999996,31.27
2025-01-04 14:00:00,27.52,49.830804235404145,17.085,66.91580423540415,25.0,3.75,52.519999999999996,31.27
2025-01-04 15:00:00,27.52,48.65750221931937,17.085,65.74250221931936,25.0,3.75,52.519999999999996,31.27
2025-01-04 16:00:00,27.52,46.94047959246592,17.085,64.02547959246593,25.0,3.75,52.519999999999996,31.27
2025-01-04 17:00:00,27.52,49.02653486622671,17.085,66.11153486622672,25.0,3.75,52.519999999999996,31.27
